Node 1,Node 2,Weight,Count 1,Count 2
"ge, y","huang, c",1,1,5
"ge, y","liu, w",1,1,10
"ge, y","shen, y",1,1,7
"ge, y","ma, p",1,1,3
"ge, y","zhu, ht",1,1,1
"ge, y","yan, yj",1,1,1
"ge, y","zhu, dj",1,1,1
"ge, y","liu, tm",1,1,3
"gao, s","lu, y",1,6,7
"lu, y","wang, y",1,7,41
"lu, y","wang, pl",1,7,2
"lu, y","zhao, l",1,7,6
"lu, y","wang, t",1,7,10
"liu, yf","lu, y",1,10,7
"fang, ly","lu, y",1,1,7
"liu, zy","lu, y",1,8,7
"liu, zl","lu, y",1,4,7
"li, yw","lu, y",1,5,7
"lu, y","wu, zh",1,7,4
"chen, jh","lu, y",1,5,7
"jiang, hq","lu, y",1,1,7
"lu, y","pan, y",1,7,4
"lu, y","yang, zy",1,7,5
"chen, jy","lu, y",1,9,7
"liang, sz","lu, y",1,1,7
"lu, y","zhang, w",1,7,11
"lu, y","ma, t",1,7,7
"dou, y","lu, y",1,1,7
"lu, y","zhang, jl",1,7,2
"gong, xy","lu, y",1,3,7
"gan, q","lu, y",1,1,7
"lu, y","zou, ys",1,7,1
"chen, zb","lu, y",1,1,7
"lu, y","qian, yx",1,7,1
"lu, y","yu, s",1,7,2
"lu, j","lu, y",1,9,7
"lu, y","song, kn",1,7,1
"lu, y","wang, xq",1,7,3
"lu, y","sikora, a",1,7,1
"li, g","lu, y",1,9,7
"li, x","lu, y",1,27,7
"li, qz","lu, y",1,2,7
"lu, y","wang, yf",1,7,14
"lu, y","zhang, l",1,7,17
"abate, y","lu, y",1,1,7
"he, lf","lu, y",1,1,7
"lu, y","zhong, wx",1,7,1
"liu, rj","lu, y",1,4,7
"huang, c","lu, y",1,5,7
"liu, w","lu, y",1,10,7
"lu, y","shen, y",1,7,7
"lu, y","ma, p",1,7,3
"lu, y","zhu, ht",1,7,1
"lu, y","yan, yj",1,7,1
"lu, y","zhu, dj",1,7,1
"liu, tm","lu, y",1,3,7
"gao, s","wang, y",1,6,41
"gao, s","wang, pl",1,6,2
"gao, s","zhao, l",1,6,6
"gao, s","wang, t",1,6,10
"gao, s","liu, yf",1,6,10
"fang, ly","gao, s",1,1,6
"gao, s","liu, zy",1,6,8
"gao, s","liu, zl",1,6,4
"gao, s","li, yw",1,6,5
"gao, s","wu, zh",1,6,4
"chen, jh","gao, s",1,5,6
"gao, s","jiang, hq",1,6,1
"gao, s","pan, y",1,6,4
"gao, s","yang, zy",1,6,5
"chen, jy","gao, s",1,9,6
"gao, s","liang, sz",1,6,1
"gao, s","zhang, w",1,6,11
"gao, s","ma, t",1,6,7
"dou, y","gao, s",1,1,6
"gao, s","zhang, jl",1,6,2
"gao, s","gong, xy",1,6,3
"gan, q","gao, s",1,1,6
"gao, s","zou, ys",1,6,1
"chen, zb","gao, s",1,1,6
"gao, s","qian, yx",1,6,1
"gao, s","yu, s",1,6,2
"gao, s","lu, j",1,6,9
"gao, s","song, kn",1,6,1
"gao, s","wang, xq",1,6,3
"gao, s","sikora, a",1,6,1
"gao, s","li, g",1,6,9
"gao, s","li, x",1,6,27
"gao, s","li, qz",1,6,2
"gao, s","wang, yf",1,6,14
"gao, s","zhang, l",1,6,17
"abate, y","gao, s",1,1,6
"gao, s","he, lf",1,6,1
"gao, s","zhong, wx",1,6,1
"gao, s","liu, rj",1,6,4
"gao, s","huang, c",1,6,5
"gao, s","liu, w",1,6,10
"gao, s","shen, y",1,6,7
"gao, s","ma, p",1,6,3
"gao, s","zhu, ht",1,6,1
"gao, s","yan, yj",1,6,1
"gao, s","zhu, dj",1,6,1
"gao, s","liu, tm",1,6,3
"wang, pl","wang, y",1,2,41
"wang, y","zhao, l",1,41,6
"wang, t","wang, y",1,10,41
"liu, yf","wang, y",1,10,41
"fang, ly","wang, y",1,1,41
"liu, zy","wang, y",1,8,41
"liu, zl","wang, y",1,4,41
"li, yw","wang, y",1,5,41
"wang, y","wu, zh",1,41,4
"chen, jh","wang, y",1,5,41
"jiang, hq","wang, y",1,1,41
"pan, y","wang, y",1,4,41
"wang, y","yang, zy",1,41,5
"chen, jy","wang, y",1,9,41
"liang, sz","wang, y",1,1,41
"wang, y","zhang, w",1,41,11
"ma, t","wang, y",1,7,41
"dou, y","wang, y",1,1,41
"wang, y","zhang, jl",1,41,2
"gong, xy","wang, y",1,3,41
"gan, q","wang, y",1,1,41
"wang, y","zou, ys",1,41,1
"chen, zb","wang, y",1,1,41
"qian, yx","wang, y",1,1,41
"wang, y","yu, s",1,41,2
"lu, j","wang, y",1,9,41
"song, kn","wang, y",1,1,41
"wang, xq","wang, y",2,3,41
"sikora, a","wang, y",1,1,41
"li, g","wang, y",1,9,41
"li, x","wang, y",1,27,41
"li, qz","wang, y",1,2,41
"wang, y","wang, yf",3,41,14
"wang, y","zhang, l",1,41,17
"abate, y","wang, y",1,1,41
"he, lf","wang, y",1,1,41
"wang, y","zhong, wx",1,41,1
"liu, rj","wang, y",1,4,41
"huang, c","wang, y",1,5,41
"liu, w","wang, y",2,10,41
"shen, y","wang, y",1,7,41
"ma, p","wang, y",1,3,41
"wang, y","zhu, ht",1,41,1
"wang, y","yan, yj",1,41,1
"wang, y","zhu, dj",1,41,1
"liu, tm","wang, y",1,3,41
"wang, pl","zhao, l",1,2,6
"wang, pl","wang, t",1,2,10
